latitude,longitude,elevation,slope,country,state,ore,gangue,dep_type,hrock_type,arock_type,ore_ctrl,commod1
41.80365,96.40544,2153.0,3.9069803,China,Gansu [Kansu],"Braunite, Psilomelane, Pyrolusite","Calcite, Quartz",Sedimentary,"Slate,Limestone",,Mn-Bearing Series,Manganese
28.60171,109.70509,508.0,2.3061779,China,Hunan,Rhodochrosite,"Dolomite, Pyrite, Quartz",,"Shale,Sandstone,Till",,Mn-Bearing Series,Manganese
23.49934,109.99955,585.0,38.727802,China,Guangxi* [Kwangsi],"Polianite, Psilomelane, Pyrolusite","Chalcopyrite, Chert, Pyrite",Stratiform,"Shale,Limestone",,"Mn-Bearing Series, Karst Strata",Manganese
27.4643,109.69675,276.0,13.977367,China,Hunan,Rhodochrosite,,,"Slate,Limestone",,"Mn-Bearing Series, Between Tillites",Manganese
42.12031,85.20026,2185.0,38.935444,China,Xinjiang* [Sinkiang],"Braunite, Hausmannite, Psilomelane, Rhodochrosite","Barite, Calcite, Galena, Pyrite, Quartz",,"Mudstone,Siltstone,Sandstone",,Mn-Bearing Series,Manganese
23.80762,100.40812,974.0,11.71207,China,Guangxi* [Kwangsi],,,,,,,Manganese
32.34087,105.21408,1134.0,31.044668,China,Sichuan [Szechwan],,,,,,,Manganese
28.16565,113.51053,169.0,8.981008,China,Hunan,"Chalcopyrite, Magnetite, Pyrite, Pyrolusite","Dolomite, Quartz",,"Slate,Dolomite",,Skarn Zone,"Copper, Sulfur"
27.49069,111.51198,353.0,7.3369937,China,Hunan,,,Sedimentary,,,,Manganese
32.70002,107.81123,1686.0,48.695503,China,Shanxi [Shansi],,,Sedimentary,,,,Manganese
28.33228,109.08287,561.0,29.874083,China,Sichuan [Szechwan],Rhodochrosite,Calcite,,"Black Shale,Siltstone",,Mn-Bearing Series,Manganese
28.4295,108.96899,363.0,6.369329,China,Sichuan [Szechwan],Rhodochrosite,"Calcite, Dolomite, Pyrite",,"Shale,Till",,Mn-Bearing Series,Manganese
36.81365,103.70244,2341.0,8.634925,China,Gansu [Kansu],,,,,,,Manganese
27.80538,108.93594,701.0,22.326635,China,Guizhou [Kweichow],,,Sedimentary,,,,Manganese
41.201,119.60053,391.0,15.885226,China,Liaoning,,,Sedimentary,,,,Manganese
23.36905,103.42193,1302.0,0.92740995,China,Yunnan,"Psilomelane, Pyrolusite",,,Limestone,,Mn-Bearing Series,Manganese
23.36905,103.42193,1302.0,0.92740995,China,Yunnan,"Psilomelane, Pyrolusite",,,Limestone,,Mn-Bearing Series,Manganese
36.11095,114.95905,53.0,3.5622733,China,Hubei [Hupeh],,,Sedimentary,,,,Manganese
29.31556,112.03279,31.0,2.3195486,China,Hunan,"Dolomite, Rhodochrosite",,Stratiform,"Claystone,Black Shale",,"Mn-Bearing Series,  Age M-Ordovician",Manganese
28.51284,112.31889,84.0,14.013591,China,Hunan,"Alabandite, Psilomelane, Rhodochrosite","Chalcopyrite, Galena, Pyrite, Quartz, Sphalerite",Stratiform,"Slate,Limestone",Granite,Strata - Contact Zone Between Mn-Bearing Series And Granitoid,Manganese
33.49997,107.00514,741.0,18.283995,China,Shanxi [Shansi],"Braunite, Pyrite","Feldspar, Mica, Quartz",,"Phyllite,Dolomite",,Mn-Bearing Series,Manganese
36.59841,112.92439,1098.0,10.650614,China,Shanxi [Shansi],,,Sedimentary,,,,Manganese
45.0814,120.0324,844.0,4.6273675,China,Liaoning,"Hematite, Manganite, Rhodochrosite","Calcite, Chert, Dolomite, Quartz",Stratiform,"Limestone,Shale,Siltstone","Diabase,Gabbro,Andesite,Plutonic Rock","Anticline, Syncline, Fault","Manganese, Iron"
38.50659,98.21511,3815.0,2.200221,China,Qinghai [Tsinghai],,,,,,,Manganese
